Unnamed: 0,Elo Rank,Player,Age,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Peak Elo,Peak Month,ATP Rank,Log diff
173,174,Gustavo Heide,23.8,1606.4,270,1456.3,134,1604.1,222,1472.7,1661.1,2024-07,238.0,-0.31
174,175,Emil Ruusuvuori,26.6,1606.1,153,1576.8,165,1558.3,115,1576.4,1893.2,2023-06,544.0,-1.13
175,176,Shintaro Mochizuki,22.5,1603.2,180,1534.1,189,1528.0,75,1629.4,1714.9,2025-10,112.0,0.45
176,177,Francesco Maestrelli,23.0,1598.8,159,1569.4,172,1545.2,265,1444.9,1711.4,2022-07,141.0,0.23
177,178,Jurij Rodionov,26.6,1597.0,163,1565.7,169,1549.7,177,1515.1,1702.1,2023-06,167.0,0.06
178,179,Clement Chidekh,24.5,1595.5,157,1570.7,299,1409.3,192,1497.8,1695.5,2024-03,215.0,-0.18
179,180,Marko Topo,22.1,1594.6,168,1557.7,186,1530.1,184,1506.5,1663.9,2022-04,236.0,-0.27
180,181,Thiago Agustin Tirante,24.5,1594.2,166,1558.6,154,1574.3,204,1485.6,1707.7,2025-08,102.0,0.57
181,182,Luca Van Assche,21.6,1593.0,164,1565.4,168,1554.5,188,1501.4,1801.5,2023-04,165.0,0.1
182,183,Matteo Gigante,23.7,1591.8,181,1533.6,137,1598.0,248,1457.1,1709.5,2025-05,152.0,0.19
183,184,Yi Zhou,20.8,1591.2,165,1564.5,321,1387.4,195,1495.6,1602.8,2026-01,244.0,-0.28
184,185,Facundo Bagnis,35.5,1590.7,204,1512.9,151,1583.8,417,1363.2,1737.0,2021-07,389.0,-0.74
185,186,Hugo Grenier,29.6,1589.3,167,1558.3,265,1446.2,214,1478.7,1734.0,2022-09,179.0,0.04
186,187,Lukas Klein,27.7,1588.2,202,1514.8,120,1617.5,138,1550.8,1777.5,2024-03,136.0,0.32
187,188,Hugo Dellien,32.3,1586.1,251,1469.2,158,1567.3,251,1453.8,1779.8,2022-05,137.0,0.32
188,189,Cedrik Marcel Stebe,35.2,1582.0,169,1554.2,166,1557.6,217,1476.1,1824.7,2017-09,320.0,-0.53
189,190,Daniel Elahi Galan,29.5,1581.2,183,1529.5,171,1548.3,174,1517.6,1757.5,2022-09,154.0,0.21
